id,mark,model,year,price
3406564-49e3bf17,HONDA,NC_700_X,2015,5830
3613752-2d3ee04d,HONDA,MSX,2015,3887
3557588-3a2b65c2,HONDA,CB_500F,2015,3887
3417806-582d6845,HONDA,VFR_1200,2015,11401
3476588-20239978,HONDA,CB_1300,2015,11530
3622760-6a83ada6,HONDA,GL_1800,2015,18138
3467356-eb7a977e,HONDA,CRF450,2015,4534
3481734-0e2a6272,HONDA,CBR_1000_RR,2015,9069
3463652-fe9049da,HONDA,CRF_250X,2015,5053
3498126-5cb88ccd,HONDA,CBR_650_F,2015,3498
3604758-8222ba25,HONDA,CBR_650_F,2015,6478
2657604-2b225b22,HONDA,GL_1800,2015,23330
3550018-d7502779,HONDA,GL_1800,2015,22672
3623614-85e90d0e,HONDA,NC_750,2015,4470
3562336-ed09679f,HONDA,CB_500F,2015,4275
3614722-9d14fa9d,HONDA,GL_1800,2015,18008
3230258-6ba364d0,HONDA,CB_650_F,2015,6737
3626528-3af6e173,HONDA,NC_750,2015,6439
3626526-86c1b1a8,HONDA,NC_750,2015,6478
3625950-3df82d27,HONDA,NC_750_X,2015,6154
3625938-a03e4f1e,HONDA,CBR_400,2015,4081
3620398-4a636f02,HONDA,GL_1800,2015,16726
3620390-618911bd,HONDA,CTX_700,2015,5493
3620400-0b07e0a8,HONDA,GL_1800,2015,18785
3620152-c5cffe2b,HONDA,VT_750,2015,4509
3619232-2bbcfea6,HONDA,NC_750,2015,4988
3619256-f50b8bba,HONDA,CBR_650_F,2015,6802
3619674-37f79b94,HONDA,400X,2015,4340
3619688-f93c040e,HONDA,NC_750_X,2015,6413
3619402-7f1a62c8,HONDA,NC_750_X,2015,5895
3619260-67a3bab1,HONDA,NC_750_X,2015,5895
3619098-35c7edd0,HONDA,VFR_800X_CROSSRUNNER,2015,8097
3619396-f3aa45d3,HONDA,CB_650_F,2015,6672
3619476-e52bc5c4,HONDA,400X,2015,4858
3619398-b2ae8c5f,HONDA,CBR_650_F,2015,6802
3619446-5528f84a,HONDA,VFR,2015,7126
3619676-517432d8,HONDA,CB_1100,2015,6802
3619690-efcdb459,HONDA,NC_750_X,2015,6154
3619578-ff6b3d66,HONDA,400X,2015,4988
3619698-e66aca89,HONDA,VFR,2015,7190
3614378-298cf075,HONDA,NC_750,2015,6866
3612732-af5daa93,HONDA,XR650,2015,4275
3605224-0b3b04fe,HONDA,VT_1300,2015,9510
3605454-210ac6f2,HONDA,CBR_650_F,2015,6931
3534598-fe7d78db,HONDA,NC_750_X,2015,5960
3522336-41b8ab72,HONDA,NC_750_X,2015,6737
3590851-eb1496a3,HONDA,GL_1800,2015,17436
3203554-67142f96,HONDA,GL_1800,2015,13474
3535758-8054dd29,HONDA,CRF_250L,2015,5117
3590753-94a936c1,HONDA,VT_1300,2015,9371
3496633-12e98853,HONDA,NC_750_X,2015,5830
3590052-5dc3f9ad,HONDA,CBR_1000_RR,2015,11679
3586500-cd286fd4,HONDA,NC_750,2015,5545
3600234-5ad9c106,HONDA,FURY,2015,5571
3586512-e69d684d,HONDA,NC_750,2015,5908
3563376-249484ff,HONDA,VT_1300,2015,5053
3346620-2b6e068d,HONDA,VT_750,2015,7475
3592782-91992fec,HONDA,CTX_700,2015,4146
3603776-f3504841,HONDA,CTX_1300,2014,8162
3628622-3cae748e,HONDA,CTX_700,2014,6000
3623926-817753db,HONDA,NC_750,2014,5441
3603776-f3504841,HONDA,CTX_1300,2014,8162
3628622-3cae748e,HONDA,CTX_700,2014,6000
3623926-817753db,HONDA,NC_750,2014,5441
3620302-326f9cf7,HONDA,CBR_650_F,2014,4521
3618446-e8c94fa1,HONDA,CBR_600_RR,2014,6413
3510214-ef76a46b,HONDA,NM4,2014,8784
3523212-9a9ea21c,HONDA,VFR_1200,2014,8227
3533490-a053149e,HONDA,CTX_1300,2014,10105
3519130-e392f699,HONDA,NM4,2014,7126
3604812-82985e0b,HONDA,CB_650_F,2014,6478
3064974-c89a25f0,HONDA,CTX_1300,2014,7061
3487314-3f927e02,HONDA,CBR_650_F,2014,6089
3486270-8ec6ff1c,HONDA,FURY,2014,9069
3616420-721ebd14,HONDA,NC_750,2014,4923
3591364-c7cc5bf7,HONDA,VFR_1200,2014,11012
3560548-5d23f24d,HONDA,NC_750_X,2014,7126
3620698-4c43c723,HONDA,CTX_700,2014,4534
3509992-a64cc102,HONDA,CBR_650_F,2014,6283
3513292-63650153,HONDA,CTX_1300,2014,7773
